listing_status,list_price,beds,baths,sqft_living,lot_sqft,year_built,city,zip_code,latitude,longitude,hoa_fee,days_on_market,price_per_sqft,listing_type,parking_garage,stories,house_age,baths_per_bed,total_rooms,sqft_per_bed,log_list_price,log_sqft_living,property_type_LAND,property_type_MOBILE,property_type_MULTI_FAMILY,property_type_SINGLE_FAMILY,property_type_TOWNHOMES
PENDING,1799000,2.0,2.0,1926.0,139.0,2008.0,Austin,78701,30.264604,-97.744431,2299.0,82.0,934.0,for_sale,1.0,1.0,18.0,1.0,4.0,963.0,14.402742068796885,7.563719668414366,0,0,0,0,0
FOR_SALE,599000,2.0,2.0,1459.0,1128.0,1983.0,Austin,78701,30.255205,-97.738057,1145.0,39.0,411.0,for_sale,2.0,1.0,43.0,1.0,4.0,729.5,13.303018546545275,7.286191714702382,0,0,0,0,0
FOR_SALE,499900,1.0,1.0,663.0,61.0,2018.0,Austin,78701,30.258399,-97.739048,704.0,80.0,754.0,for_sale,1.0,1.0,8.0,1.0,2.0,663.0,13.12216535779974,6.498282149476434,0,0,0,0,0
PENDING,298000,1.0,1.0,607.0,,2007.0,Austin,78701,30.282731,-97.746159,442.0,31.0,491.0,for_sale,1.0,1.0,19.0,1.0,2.0,607.0,12.604852121186608,6.410174881966167,0,0,0,0,0
FOR_SALE,435000,1.0,1.0,760.0,100.0,2008.0,Austin,78701,30.267661,-97.749622,724.0,150.0,572.0,for_sale,1.0,1.0,18.0,1.0,2.0,760.0,12.983103608918753,6.634633357861686,0,0,0,0,0
FOR_SALE,1699900,3.0,3.0,2009.0,126.0,2018.0,Austin,78701,30.269536,-97.750525,1811.0,73.0,846.0,for_sale,2.0,1.0,8.0,1.0,6.0,669.6666666666666,14.346080572036586,7.605890001053122,0,0,0,0,0
FOR_SALE,515000,2.0,2.0,1164.0,292.0,2005.0,Austin,78701,30.257382,-97.739444,965.0,58.0,442.0,for_sale,2.0,1.0,21.0,1.0,4.0,582.0,13.151924121391561,7.060476365999801,0,0,0,0,0
FOR_SALE,895000,2.0,2.0,1059.0,131.0,2008.0,Austin,78701,30.267661,-97.749622,1031.0,128.0,845.0,for_sale,2.0,1.0,18.0,1.0,4.0,529.5,13.704580114574805,6.966024187106113,0,0,0,0,0
FOR_SALE,2599000,3.0,3.0,2162.0,170.0,2011.0,Austin,78701,30.265737,-97.74657,2363.0,97.0,1202.0,for_sale,2.0,1.0,15.0,1.0,6.0,720.6666666666666,14.770637698386924,7.679251425953058,0,0,0,0,0
FOR_SALE,465000,1.0,1.0,687.0,196.0,2014.0,Austin,78701,30.267402,-97.752016,681.0,36.0,677.0,for_sale,1.0,1.0,12.0,1.0,2.0,687.0,13.049794835104816,6.5337888379333435,0,0,0,0,0
FOR_SALE,434000,2.0,2.0,1234.0,967.0,1983.0,Austin,78701,30.255205,-97.738057,909.0,344.0,352.0,for_sale,2.0,1.0,43.0,1.0,4.0,617.0,12.980802117227352,7.118826249062078,0,0,0,0,0
FOR_SALE,1390000,2.0,2.0,1434.0,139.0,2019.0,Austin,78701,30.258399,-97.739048,1607.0,107.0,969.0,for_sale,2.0,1.0,7.0,1.0,4.0,717.0,14.144815024531075,7.268920128193722,0,0,0,0,0
FOR_SALE,2395000,3.0,3.0,2227.0,636.0,2014.0,Austin,78701,30.267402,-97.752016,1976.0,269.0,1075.0,for_sale,2.0,1.0,12.0,1.0,6.0,742.3333333333334,14.6888942063636,7.708859601047175,0,0,0,0,0
FOR_SALE,1395000,2.0,2.0,1648.0,126.0,2021.0,Austin,78701,30.279578,-97.742213,1466.0,25.0,846.0,for_sale,2.0,1.0,5.0,1.0,4.0,824.0,14.148405690083225,7.407924322559599,0,0,0,0,0
PENDING,919000,2.0,2.0,1516.0,205.0,2008.0,Austin,78701,30.267661,-97.749622,1452.0,33.0,606.0,for_sale,2.0,1.0,18.0,1.0,4.0,758.0,13.731042489476513,7.324489979348532,0,0,0,0,0
FOR_SALE,600000,1.0,1.0,688.0,196.0,2014.0,Austin,78701,30.267402,-97.752016,682.0,130.0,872.0,for_sale,1.0,1.0,12.0,1.0,2.0,688.0,13.304686600863562,6.535241271013659,0,0,0,0,0
SOLD,799000,2.0,2.0,1244.0,174.0,2008.0,Austin,78701,30.267661,-97.749622,1227.0,161.0,,sold,2.0,1.0,18.0,1.0,4.0,622.0,13.591117476312084,7.126890808898808,0,0,0,0,0
SOLD,999000,2.0,2.0,1260.0,100.0,2022.0,Austin,78701,30.255947,-97.738936,1050.0,131.0,,sold,2.0,1.0,4.0,1.0,4.0,630.0,13.81451105863119,7.13966033596492,0,0,0,0,0
SOLD,395000,1.0,1.0,879.0,166.0,2006.0,Austin,78701,30.26001,-97.739409,541.0,167.0,,sold,1.0,1.0,20.0,1.0,2.0,879.0,12.886643575525625,6.779921907472252,0,0,0,0,0
SOLD,1625000,3.0,3.0,2032.0,157.0,2019.0,Austin,78701,30.255883,-97.73894,1698.0,78.0,,sold,2.0,1.0,7.0,1.0,6.0,677.3333333333334,14.301018989130402,7.617267813628347,0,0,0,0,0
SOLD,2295000,2.0,2.0,1717.0,392.0,2010.0,Austin,78701,30.261884,-97.742441,1824.0,150.0,,sold,2.0,1.0,16.0,1.0,4.0,858.5,14.646243837206535,7.4489161025442,0,0,0,0,0
SOLD,649000,3.0,2.0,796.0,65.0,2022.0,Austin,78701,30.255947,-97.738936,674.0,148.0,,sold,1.0,1.0,4.0,0.6666666666666666,5.0,265.3333333333333,13.38318953651709,6.680854678790215,0,0,0,0,0
SOLD,295000,1.0,1.0,469.0,139.0,1973.0,Austin,78701,30.275789,-97.744133,409.0,42.0,,sold,1.0,1.0,53.0,1.0,2.0,469.0,12.59473402514672,6.152732694704104,0,0,0,0,0
SOLD,1300000,2.0,2.0,1579.0,126.0,2011.0,Austin,78701,30.265737,-97.74657,2431.0,443.0,,sold,2.0,1.0,15.0,1.0,4.0,789.5,14.077875591662238,7.365180126021013,0,0,0,0,0
SOLD,550000,1.0,1.0,699.0,57.0,2021.0,Austin,78701,30.256396,-97.738839,612.0,128.0,,sold,1.0,1.0,5.0,1.0,2.0,699.0,13.217675375388819,6.551080335043404,0,0,0,0,0
